wave	45000[g45]	43000[g45]	41000[g45]	39000[g40]	38000[g40]	37000[g40]	36000[g40]	35000[g40]	34000[g40]	33000[g40]	32000[g40]	30000[g40]	25000[g40]	19000[g40]	15000[g40]	12000[g40]	9500[g40]	9250[g40]	8250[g40]	7250[g40]	7000[g40]	6500[g40]	6250[g45]	6000[g45]	5750[g45]	5500[g45]	5250[g45]	4750[g45]	4500[g45]	4250[g45]	4000[g45]
0.1245	0.0045880666	0.0042177294	0.0038461576	0.0031371678	0.0029725733	0.0028063331	0.0026388583	0.0024701492	0.0023018515	0.0021347883	0.0019685482	0.0016393593	0.00087564177	0.0002739261	7.4643525e-05	1.0484658e-05	1.0369442e-08	5.2834777e-09	2.380034e-10	8.205026e-12	3.1832542e-12	3.899651e-13	1.2850701e-13	2.65038e-14	3.3104032e-15	3.5622325e-16	7.015832e-17	1.1369352e-18	1.8599157e-19	8.9210124e-20	4.954289e-20
0.1255	0.004754054	0.00433175	0.003916136	0.0031969652	0.0030171725	0.0028390521	0.0026630226	0.0024911743	0.002322671	0.0021570944	0.001992772	0.0016620372	0.0008751306	0.0002712779	7.781261e-05	1.5119312e-05	7.705999e-08	1.8878234e-08	5.167995e-10	1.7381355e-11	6.455812e-12	6.7401363e-13	1.7841291e-13	3.3579422e-14	3.964638e-15	4.3359312e-16	8.642593e-17	1.456739e-18	2.4146578e-19	1.2117192e-19	7.0913586e-20
0.1265	0.00480038	0.0043925606	0.0039872895	0.0032587363	0.0030841383	0.0029112396	0.0027396155	0.00257054	0.0024031638	0.0022366375	0.002069686	0.0017277121	0.00090230163	0.0002504694	6.1427876e-05	1.1134334e-05	1.551415e-07	4.2608686e-08	5.220945e-10	1.7842122e-11	6.652563e-12	6.996661e-13	1.882344e-13	3.630872e-14	4.4860195e-15	5.259178e-16	1.0739258e-16	1.9159042e-18	3.163578e-19	1.5820015e-19	9.2524145e-20
0.1275	0.004829105	0.004440705	0.0040548947	0.0033130508	0.0031473336	0.0029816162	0.002815899	0.0026506132	0.0024844643	0.002317021	0.0021469882	0.0017969967	0.0009455379	0.00027580705	7.819784e-05	1.8051962e-05	4.6866916e-07	1.4405319e-07	8.009668e-10	2.6803905e-11	9.865357e-12	9.77473e-13	2.418868e-13	4.5140693e-14	5.4634913e-15	6.5035396e-16	1.3391165e-16	2.431383e-18	4.0579154e-19	2.0891598e-19	1.2661835e-19
0.1285	0.004817482	0.0044361167	0.0040582577	0.003315252	0.0031539386	0.002992625	0.0028308737	0.002669122	0.0025056168	0.0023394816	0.0021698396	0.0018156518	0.0009485925	0.00028856675	8.9686706e-05	2.2693454e-05	9.209764e-07	3.4265932e-07	1.1348918e-09	3.7487815e-11	1.36458796e-11	1.2905067e-12	3.0075294e-13	5.4574756e-14	6.3692465e-15	7.815806e-16	1.6179551e-16	2.9886803e-18	4.5939233e-19	2.264962e-19	1.3523142e-19
0.1295	0.004852686	0.0044520055	0.0040504346	0.0033216414	0.0031484582	0.0029734944	0.0027963046	0.0026177792	0.0024365825	0.0022513792	0.0020594976	0.001647242	0.0006869444	0.00018671711	6.286232e-05	1.8061786e-05	1.0448857e-06	4.2627954e-07	1.3836833e-09	4.6211816e-11	1.6833033e-11	1.591592e-12	3.6693427e-13	6.695816e-14	7.848886e-15	9.81222e-16	2.022546e-16	3.8193758e-18	5.818771e-19	2.879112e-19	1.7362822e-19
0.1305	0.004724474	0.0043433513	0.003966298	0.0032524273	0.0030896703	0.0029260092	0.0027609917	0.002594618	0.0024259835	0.0022541846	0.0020774123	0.0016999065	0.00075049064	0.00017699825	4.5662382e-05	1.0393843e-05	5.149451e-07	2.1190057e-07	1.2071144e-09	4.315773e-11	1.6067732e-11	1.5859767e-12	3.8754248e-13	7.21556e-14	8.666811e-15	1.1533142e-15	2.453562e-16	4.8239366e-18	7.3195444e-19	3.6674578e-19	2.243786e-19
0.1315	0.004719117	0.0043661017	0.0040176767	0.003292824	0.003144089	0.0029953541	0.0028452422	0.002692835	0.002535837	0.0023737894	0.0022057742	0.0018500042	0.0009580543	0.00028323886	8.327314e-05	2.0524489e-05	1.2972982e-06	5.715273e-07	1.770128e-09	6.1881035e-11	2.2778465e-11	2.1548186e-12	4.9165126e-13	9.00672e-14	1.0879677e-14	1.4570504e-15	3.1179227e-16	6.2018747e-18	9.465778e-19	4.6961644e-19	2.8544235e-19
0.1325	0.0046839686	0.004334419	0.0039862674	0.0032731856	0.0031235781	0.0029725726	0.0028187705	0.0026617062	0.002499981	0.002332197	0.0021588204	0.0017934241	0.0009046352	0.00027008555	8.552322e-05	2.3238079e-05	1.6489435e-06	7.452404e-07	2.1056887e-09	7.359191e-11	2.701788e-11	2.4971848e-12	5.5135676e-13	9.959843e-14	1.1917322e-14	1.6876271e-15	3.6674777e-16	7.657474e-18	1.1078402e-18	5.387729e-19	3.2904299e-19
0.1335	0.0046574725	0.0043106694	0.003960082	0.0032541747	0.0031013542	0.0029461684	0.0027876706	0.002626807	0.0024621582	0.002294198	0.0021215063	0.0017614556	0.000879545	0.00023888235	7.3145595e-05	2.04344e-05	1.5594301e-06	7.215203e-07	2.324005e-09	8.3932916e-11	3.0952036e-11	2.867156e-12	6.3020655e-13	1.1511206e-13	1.4061365e-14	2.0628382e-15	4.4615973e-16	9.53353e-18	1.3029946e-18	6.174321e-19	3.7519051e-19
